energy_hvac,Outdoor_temp,zone_temp_cooling,zone_temp_heating,indoor_temp_interior,co2,supplyfan_speed,returnfan_speed,supply_air_temp,return_air_temp,filtered_air_flow_rate,outdoor_air_damper_position
45.53895833,15.105,22.906504065040654,20.69105691056911,27.06228125,435.27272727272725,82.975,68.925,18.38888888888889,20.95833333333333,23618.208459,60.900000000000006
30.386417108000003,16.183500000000002,25.86564570577342,17.96296296296296,23.90015625,417.45454545454544,78.1,68.4,20.11111111111111,21.79166666666667,27303.614697,59.5
34.457750000000004,26.625,23.04954276154684,20.93681917211329,24.37675,445.9090909090909,54.225,50.2,16.861111111111107,21.45833333333333,18765.347538250004,41.4
61.12496732,24.725,23.003809270697168,20.90058971623094,24.42559375,437.59177018181816,94.45,81.80000000000001,19.944444444444446,21.98611111111111,32699.70793125,31.75
26.663360322000003,7.6085,23.06063165784313,20.94771241830065,22.53875,420.0,71.675,60.3,17.16666666666667,19.694444444444443,23159.916801,39.525
36.167860967,12.511,23.00490763627451,20.89324618736384,23.9743125,416.9090909090909,86.525,80.925,20.013888888888893,21.55555555555556,30557.6201995,41.4
35.730555556,14.233,22.96715859030501,20.991611224291944,24.366875,418.0061938636364,85.07499999999999,71.82499999999999,19.986111111111107,21.84722222222221,29761.40211375001,48.525000000000006
30.699761901,12.053,23.005508323311545,20.89324618736384,24.00359375,422.54545454545456,78.55,66.625,19.97222222222222,21.45833333333333,27309.79183625,40.375
5.215263158,13.735,23.09620596205962,20.88075880758807,23.770533333333333,443.6363636363636,64.69999999999999,54.175,20.86111111111112,21.750000000000004,18196.465209375005,38.25
55.69243421,24.797,23.004289934095866,20.89324618736384,24.80246875,412.45454545454544,94.45,81.225,19.944444444444446,22.30555555555556,32756.099865000004,31.675
41.97105263,14.489999999999998,22.906504065040654,20.69105691056911,27.132625,422.7272727272728,80.25,67.0,18.486111111111114,21.01388888888889,22885.621321250004,54.2
8.3225,12.0275,23.04105612200436,20.92592592592593,23.0036875,413.1818181818182,49.55,44.8,17.47222222222222,20.083333333333336,16602.03377475,48.95
8.398,16.372,23.0524668251634,20.93681917211329,23.5974375,430.45454545454544,50.725,45.65,18.444444444444443,20.81944444444445,17283.271610750002,82.9
34.48722222,22.147,23.058036828431373,20.93681917211329,24.15596875,486.7272727272728,68.825,62.075,18.25,21.125000000000004,23283.75478725,37.575
52.36094118,21.828,23.00408008877996,20.89324618736384,24.3435625,420.54545454545456,94.125,76.30000000000001,19.95833333333334,22.194444444444443,32099.4576025,10.0
27.27223684,7.575,25.920339074074075,18.006535947712415,22.9841875,411.3636363636364,76.125,64.15,18.208333333333336,20.27777777777778,24524.3658615,37.625
69.644201677,29.2225,23.02916096481481,20.94354033638344,25.6560625,430.9090909090909,75.625,69.225,24.194444444444443,26.47222222222221,26605.76956075,15.025
29.33266667,12.2635,23.0036814425926,20.89324618736384,23.933375,418.3636363636364,78.55000000000001,70.64999999999999,20.13888888888889,21.43055555555556,27148.25771225,40.925
34.552222222,16.6025,23.00378863562091,20.89324618736384,24.0309375,417.1818181818182,83.075,72.15,20.125,21.958333333333336,29050.1501685,61.85
30.68311765,15.76,26.55879181764706,18.267235265250545,23.972250000000003,406.4621737818181,79.25,66.8,19.95833333333333,21.63888888888889,27477.932097,58.725
36.62896266,15.717,22.994937190849672,20.882352941176475,24.209253167507537,428.27272727272725,94.225,73.4,20.02777777777778,21.80555555555556,30809.58996975,10.0
72.44157894,20.59,22.906504065040654,20.69105691056911,22.441125,415.1818181818182,87.30000000000001,71.42500000000001,18.58333333333333,23.02777777777778,24763.0192945,55.0
51.985714286,24.8445,23.00473563834423,20.89324618736384,24.972375,439.54545454545456,95.75,87.525,19.30555555555556,22.41666666666667,33124.412483,100.0
56.32916667,25.8225,22.96699657309368,20.86058387026144,24.500439321253936,417.0,95.275,85.775,20.611111111111107,22.583333333333336,32982.633906250005,29.0
60.00208333,23.3585,22.93296585729847,20.891635958823528,24.9060625,415.13497693636367,98.1,80.325,20.0,22.5,33610.40676075,10.0
8.966666667,11.704999999999998,25.724932249322496,18.41463414634146,22.67686666666667,420.3636363636364,54.825,57.725,17.069444444444443,21.34722222222223,15066.4603299,35.7
42.022,12.239999999999998,23.09620596205962,20.88075880758807,23.87066666666666,447.0,83.075,65.55,20.72222222222222,21.98611111111111,23729.5498755,34.85
35.15684211,16.2945,23.00450496089325,20.89324618736384,24.281,425.1818181818182,81.575,75.125,19.95833333333333,21.91666666666666,28618.923580500003,59.3
44.10421052,14.715,23.082655826558263,20.86720867208672,23.73192857142857,425.0,76.94999999999999,67.125,20.30555555555556,21.95833333333333,21995.70550925,37.8
0.0,16.259999999999998,22.906504065040654,20.69105691056911,21.70675,411.3636363636364,64.15,66.425,18.22222222222222,22.36111111111111,17877.5958275,52.0
45.459203873,25.027500000000003,22.993617548148148,20.882352941176475,24.88113481120461,440.45454545454544,99.75,87.89999999999999,19.986111111111107,22.527777777777768,33977.41752,32.5
75.04775641,21.205,22.906504065040654,20.69105691056911,22.2926875,464.54545454545456,84.70000000000002,67.075,18.388888888888896,22.83333333333334,23874.64999725,55.0
57.51145833,24.55,23.082655826558263,20.86720867208672,23.062214285714283,421.1818181818182,65.075,63.45,18.40277777777778,22.16666666666667,18370.30625225,10.5
