pmv,ppd
0.22,6.0
0.22,6.0
0.22,6.0
0.21,5.9
0.22,6.0
0.21,5.9
0.22,6.0
0.21,5.9
0.21,5.9
0.22,6.0
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.22,6.0
0.22,6.0
0.22,6.0
0.21,5.9
0.22,6.0
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.25,6.3
0.25,6.3
0.25,6.3
0.26,6.4
0.26,6.4
0.27,6.5
0.27,6.5
0.28,6.7
0.28,6.7
0.29,6.7
0.28,6.6
0.29,6.7
0.29,6.8
0.29,6.7
0.3,6.8
0.3,6.9
0.3,6.9
0.3,6.9
0.31,6.9
0.31,6.9
0.31,7.0
0.31,7.0
0.32,7.1
0.32,7.2
0.33,7.2
0.33,7.2
0.33,7.3
0.33,7.3
0.33,7.2
0.33,7.3
0.33,7.3
0.33,7.3
0.34,7.4
0.33,7.3
0.33,7.3
0.32,7.2
0.33,7.2
0.32,7.2
0.32,7.1
0.32,7.1
0.31,7.0
0.3,6.8
0.3,6.8
0.3,6.8
0.29,6.8
0.28,6.6
0.28,6.6
0.27,6.6
0.28,6.6
0.27,6.5
0.26,6.5
0.26,6.4
0.26,6.4
0.25,6.3
0.25,6.3
0.24,6.2
0.24,6.2
0.24,6.2
0.23,6.1
0.24,6.2
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.22,6.0
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.2,5.9
0.21,5.9
0.2,5.9
0.2,5.9
0.21,5.9
0.2,5.9
0.21,5.9
0.2,5.9
0.2,5.9
0.2,5.8
0.2,5.8
0.2,5.8
0.2,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.22,6.0
0.23,6.1
0.24,6.2
0.24,6.2
0.26,6.4
0.26,6.4
0.26,6.4
0.26,6.4
0.27,6.5
0.27,6.5
0.28,6.7
0.28,6.6
0.27,6.5
0.28,6.6
0.29,6.7
0.29,6.7
0.29,6.7
0.28,6.7
0.3,6.8
0.29,6.8
0.29,6.8
0.3,6.9
0.3,6.9
0.3,6.9
0.31,7.0
0.31,7.0
0.31,7.0
0.31,7.0
0.32,7.1
0.32,7.1
0.32,7.1
0.32,7.2
0.32,7.2
0.32,7.2
0.33,7.2
0.33,7.3
0.33,7.3
0.33,7.3
0.33,7.3
0.33,7.3
0.33,7.3
0.33,7.2
0.33,7.3
0.33,7.2
0.32,7.2
0.32,7.2
0.32,7.1
0.31,7.0
0.3,6.8
0.3,6.8
0.29,6.8
0.28,6.7
0.28,6.6
0.27,6.6
0.27,6.5
0.27,6.5
0.27,6.5
0.26,6.4
0.27,6.5
0.26,6.4
0.26,6.4
0.25,6.3
0.25,6.3
0.25,6.2
0.24,6.2
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.22,6.0
0.22,6.0
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.2,5.8
0.2,5.8
0.2,5.8
0.19,5.8
0.2,5.8
0.19,5.8
0.19,5.8
0.19,5.8
0.19,5.7
0.19,5.7
0.19,5.7
0.18,5.7
0.19,5.7
0.18,5.7
0.18,5.7
0.18,5.7
0.18,5.7
0.18,5.7
0.19,5.7
0.2,5.8
0.21,5.9
0.24,6.2
0.25,6.3
0.25,6.3
0.24,6.2
0.23,6.1
0.24,6.2
0.23,6.1
0.24,6.2
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.23,6.1
0.23,6.1
0.22,6.0
0.23,6.1
0.23,6.1
0.23,6.1
0.23,6.1
0.24,6.2
0.23,6.1
0.23,6.1
0.24,6.2
0.24,6.2
0.24,6.2
0.24,6.2
0.24,6.2
0.24,6.2
0.24,6.2
0.25,6.3
0.25,6.3
0.24,6.2
0.26,6.4
0.25,6.3
0.26,6.4
0.26,6.4
0.25,6.3
0.26,6.4
0.26,6.4
0.26,6.4
0.26,6.4
0.26,6.4
0.26,6.4
0.25,6.3
0.24,6.1
0.23,6.1
0.23,6.1
0.22,6.0
0.22,6.0
0.22,6.0
0.22,6.0
0.22,6.0
0.21,6.0
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.21,5.9
0.2,5.8
0.2,5.8
0.2,5.8
0.2,5.8
0.2,5.8
0.2,5.8
0.2,5.8
0.19,5.8
0.19,5.7
0.19,5.8
0.2,5.8
0.21,5.9
0.21,5.9
0.21,5.9
0.19,5.7
0.19,5.7
0.18,5.7
0.18,5.6
0.18,5.6
0.18,5.7
0.18,5.6
0.18,5.7
0.17,5.6
0.17,5.6
0.17,5.6
0.17,5.6
0.19,5.7
0.2,5.8
0.19,5.8
0.2,5.8
0.2,5.8
0.2,5.8
0.21,5.9
0.22,6.0
0.24,6.2
0.28,6.6
0.29,6.7
0.29,6.8
0.27,6.5
0.27,6.5
0.27,6.5
0.26,6.4
0.26,6.4
0.26,6.4
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.25,6.3
0.26,6.5
0.26,6.4
0.26,6.4
0.26,6.4
0.27,6.5
0.27,6.6
0.27,6.5
0.27,6.5
0.27,6.5
0.28,6.6
0.27,6.6
0.28,6.6
0.28,6.7
0.28,6.6
0.29,6.7
0.29,6.8
0.29,6.7
0.29,6.8
0.29,6.8
0.3,6.9
0.3,6.8
0.29,6.8
0.29,6.8
0.28,6.7
0.27,6.6
0.27,6.6
0.27,6.5
0.27,6.5
0.26,6.4
0.26,6.4
0.26,6.4
0.26,6.4
0.25,6.3
0.24,6.2
